vcm@CHI	CHI	a779	C	vcm@CHI	CHI	a779
vcm@CHI	CHI	a780	C	vcm@CHI	CHI	a780
vcm@CHI	CHI	a781	C	vcm@CHI	CHI	a781
vcm@CHI	CHI	a782	C	vcm@CHI	CHI	a782
vcm@CHI	CHI	a783	C	vcm@CHI	CHI	a783
vcm@CHI	CHI	a939	C	vcm@CHI	CHI	a939
vcm@CHI	CHI	a940	C	vcm@CHI	CHI	a940
vcm@CHI	CHI	a784	N	vcm@CHI	CHI	a784
vcm@CHI	CHI	a785	N	vcm@CHI	CHI	a785
vcm@CHI	CHI	a786	N	vcm@CHI	CHI	a786
vcm@CHI	CHI	a787	N	vcm@CHI	CHI	a787
vcm@CHI	CHI	a788	C	vcm@CHI	CHI	a788
vcm@CHI	CHI	a789	N	vcm@CHI	CHI	a789
vcm@CHI	CHI	a790	N	vcm@CHI	CHI	a790
vcm@CHI	CHI	a791	C	vcm@CHI	CHI	a791
vcm@CHI	CHI	a792	N	vcm@CHI	CHI	a792
vcm@CHI	CHI	a793	Y	vcm@CHI	CHI	a793
vcm@CHI	CHI	a794	N	vcm@CHI	CHI	a794
vcm@CHI	CHI	a795	N	vcm@CHI	CHI	a795
vcm@CHI	CHI	a796	L	vcm@CHI	CHI	a796
vcm@CHI	CHI	a797	L	vcm@CHI	CHI	a797
vcm@CHI	CHI	a798	L	vcm@CHI	CHI	a798
vcm@CHI	CHI	a799	N	vcm@CHI	CHI	a799
xds@FA1	FA1	a800	C	xds@FA1	FA1	a800
xds@FA1	FA1	a801	B	xds@FA1	FA1	a801
xds@FA1	FA1	a802	C	xds@FA1	FA1	a802
xds@FA1	FA1	a803	U	xds@FA1	FA1	a803
xds@FA1	FA1	a804	U	xds@FA1	FA1	a804
xds@FA1	FA1	a805	C	xds@FA1	FA1	a805
xds@FA1	FA1	a806	C	xds@FA1	FA1	a806
xds@FA1	FA1	a807	A	xds@FA1	FA1	a807
xds@FA1	FA1	a808	C	xds@FA1	FA1	a808
xds@FA1	FA1	a809	C	xds@FA1	FA1	a809
xds@FA1	FA1	a810	C	xds@FA1	FA1	a810
xds@FA1	FA1	a811	C	xds@FA1	FA1	a811
xds@FA1	FA1	a812	A	xds@FA1	FA1	a812
xds@FA1	FA1	a813	A	xds@FA1	FA1	a813
xds@FA1	FA1	a814	A	xds@FA1	FA1	a814
xds@FA1	FA1	a815	A	xds@FA1	FA1	a815
xds@FA1	FA1	a816	C	xds@FA1	FA1	a816
xds@FA1	FA1	a817	C	xds@FA1	FA1	a817
xds@FA1	FA1	a818	B	xds@FA1	FA1	a818
xds@FA1	FA1	a819	B	xds@FA1	FA1	a819
xds@FA1	FA1	a820	C	xds@FA1	FA1	a820
xds@FA1	FA1	a821	A	xds@FA1	FA1	a821
xds@FA1	FA1	a822	A	xds@FA1	FA1	a822
xds@FA1	FA1	a823	A	xds@FA1	FA1	a823
xds@FA1	FA1	a824	A	xds@FA1	FA1	a824
xds@FA1	FA1	a825	A	xds@FA1	FA1	a825
xds@FA1	FA1	a826	A	xds@FA1	FA1	a826
xds@FA1	FA1	a827	C	xds@FA1	FA1	a827
xds@FA1	FA1	a828	C	xds@FA1	FA1	a828
xds@FA1	FA1	a829	C	xds@FA1	FA1	a829
xds@FA1	FA1	a830	C	xds@FA1	FA1	a830
xds@FA1	FA1	a831	C	xds@FA1	FA1	a831
xds@FA1	FA1	a832	A	xds@FA1	FA1	a832
xds@FA1	FA1	a833	B	xds@FA1	FA1	a833
xds@FA1	FA1	a998	B	xds@FA1	FA1	a998
xds@FA1	FA1	a835	B	xds@FA1	FA1	a835
xds@FA1	FA1	a836	B	xds@FA1	FA1	a836
xds@MA1	MA1	a837	C	xds@MA1	MA1	a837
xds@MA1	MA1	a838	C	xds@MA1	MA1	a838
xds@MA1	MA1	a839	C	xds@MA1	MA1	a839
xds@MA1	MA1	a840	C	xds@MA1	MA1	a840
xds@MA1	MA1	a841	C	xds@MA1	MA1	a841
xds@MA1	MA1	a842	C	xds@MA1	MA1	a842
xds@MA1	MA1	a843	C	xds@MA1	MA1	a843
xds@MA1	MA1	a844	C	xds@MA1	MA1	a844
xds@MA1	MA1	a845	C	xds@MA1	MA1	a845
xds@MA1	MA1	a846	C	xds@MA1	MA1	a846
xds@MA1	MA1	a847	B	xds@MA1	MA1	a847
xds@MA1	MA1	a848	C	xds@MA1	MA1	a848
xds@MA1	MA1	a849	C	xds@MA1	MA1	a849
xds@MA1	MA1	a850	A	xds@MA1	MA1	a850
xds@MA1	MA1	a851	A	xds@MA1	MA1	a851
xds@MA1	MA1	a852	A	xds@MA1	MA1	a852
xds@MA1	MA1	a853	A	xds@MA1	MA1	a853
xds@MA1	MA1	a854	A	xds@MA1	MA1	a854
xds@MA1	MA1	a855	C	xds@MA1	MA1	a855
xds@MA1	MA1	a1000	B	xds@MA1	MA1	a1000
xds@MA1	MA1	a856	A	xds@MA1	MA1	a856
xds@MA1	MA1	a857	A	xds@MA1	MA1	a857
